,Tic,Date,Elapsed_Days,Type,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,EMOT,Virtue,Vice,Ovrst,Undrst,Role,Need,Goal,Try,Means,Persist,Complet,Fail,Think,Know,Causal,Ought,Perceiv,Compare,EVAL,Solve,ABS
519,FBNC,2014-03-17,367.0,10K,0.015973100420293762,0.0558591378263511,-0.06320202343535819,-0.0753330271015159,-0.15456259008759277,0.0,-0.07965284474445511,0.1308326265128753,-0.029047655684163454,0.026461899254922372,-0.04522435447184914,0.026116148861945687,0.026838756607494907,0.023224326051455746,-0.0028236952248914537,0.006926001787878278,-0.1263171916289232,-0.03189843694075911,0.035721834445540335,0.06603861389387655,-0.11410780988837488,-0.09527339052506723,-0.1716800506076288,0.22960118516314987,0.3766476372387938,-0.09975074902470682,0.178471751662034,-0.07309287340288151,-0.8596841888273863,0.0,0.09020567964285253,0.23350355721014215,-0.016433353767982606,0.10435282610981544,0.013585736154283934,-0.05825688363945414,0.1284767483731435,-0.06694554413334597
520,FBNC,2015-03-13,361.0,10K,-0.015251187350659112,0.14703238803657204,0.01255635991305748,-0.035007678218269,0.12267685931281291,0.0,0.13285749446222006,-0.11086149742932427,-0.02946095991934916,-0.004614921976423547,0.029227062550718275,0.007249088427131456,0.008611427049692422,-0.03190847098855398,-0.026491577039314373,-0.11842298759724679,-0.2472145112655748,0.03699548004006836,-0.18981848725514416,-0.025348784994733364,0.27708970071513916,0.4283738836791785,-0.1758860880258566,-0.06035730901900904,-0.04260056655180633,0.09872518959680787,0.656310846174244,0.27688881572044244,0.08560238800035563,0.0,-0.08314708333572085,-0.12557793613505597,-0.4081350975971143,-0.0740030490841197,0.09311273169571121,-0.022102534110658878,-0.16556110706257177,0.3062038320082292
521,FBNC,2016-03-14,367.0,10K,0.11010821405629745,-0.13373363147031103,-0.37674894436476336,0.18984827136235993,-0.2883643775642284,0.0,0.24659123296411845,0.025408900722708294,0.0744264716828249,0.125721570574296,-0.007100525767377519,0.13756823229866666,-0.07898439371064803,0.15804500070514615,-0.0654758262076105,0.15675909280362876,0.331427978772179,-0.0927668112008404,0.22200467020264025,-0.15498697980020415,-0.4579097625082911,-0.5621808273209397,0.16898067662500593,-0.007174684002657861,-0.2744103520138502,-0.12081808006732087,-0.11739763811451964,0.31905845759951346,0.41358472236094945,0.0,-0.04884188685379609,0.02223109275049473,0.658288701021317,-0.05642799900306039,0.24718214742949307,-0.10172058101358461,-0.11001239848950495,-0.11841856035809228
522,FC,2008-04-10,,10Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,FC,2008-07-10,91.0,10Q,0.04423541316648527,-0.19223330493605795,0.12178629267959651,-0.10290498010255977,-0.1437758930667533,0.0,-1.5686771345922204,0.2973780644583187,0.03403472210070535,0.04413180489716284,-0.020001826804970646,0.0540964537905797,-0.02576317850403642,0.10143020708770423,-0.08209666129928761,0.03433935563906787,-0.2182778465241344,-0.06879246739702527,0.04498004218993967,0.053386356177634875,-0.04281420576588557,0.03723582400975489,0.3699907181458775,-0.015227717857898782,-0.10655092762380136,0.04799810040175578,-0.29103874882519326,0.09555435685191749,0.2853241270684228,0.0,-0.02403857428699674,0.017255737967938334,0.18145640278840214,0.07416942946321181,-0.05698339263253671,0.029618589260622552,-0.10377150363695853,0.02981736997637363
524,FC,2009-01-13,187.0,10Q,0.1043758037307061,0.011806046118015168,-0.012416635335429249,0.19505455238458247,0.2759503259365581,0.0,-0.10448029096659583,-0.22063018388289157,-0.033582984108465164,-0.11460671104303066,0.013477240702414406,-0.13474234183497924,-0.006842784351092979,0.0034826100541809346,0.02241474182907277,-0.030474050449221135,-0.17257307291374624,0.08254956384163292,0.16615595522173943,0.025112170809802214,0.09289578129058329,0.13217476370177428,-0.6352614714780667,-0.05438630227193908,0.13381917632017382,-0.11346724895015381,0.25151685404212015,-0.1995703670374478,-0.14569042005092014,0.0,0.09746719949653071,0.048427845840732675,-0.16237593434071929,0.46210854737120133,-0.04709010249858303,0.012538397575507232,0.13236049450449017,0.049045339403804955
525,FC,2009-04-09,86.0,10Q,-0.024714472529510312,0.028453805664817255,-0.024363579549983472,-0.015645067552538916,-0.02233406707910568,0.0,0.3900347700479003,-0.026238849720688462,0.008335400287644346,0.07772651016437471,-0.011431100609921918,0.09099170989776273,0.018419579644715633,-0.013940389708282597,-0.014903263231493935,-0.03235531574796968,0.03547324298912424,-0.014199818677596676,-0.06736835740332325,0.04492257626483487,-0.0995977632413596,-0.08517985654319093,-0.013711533114250773,0.08554940600805017,-0.10480436118401415,0.017004762473871615,-0.06467764086110861,0.03537356318132767,-0.14308320051365508,0.0,-0.06914473523029074,-0.07860152819418964,0.1487129740639762,-0.11696870487656175,-0.06041837582448395,0.08044483610799191,-0.06192893559262336,-0.025055886471611277
526,FC,2009-07-09,91.0,10Q,-0.08448053872723227,-0.192136947198427,0.08550050450341473,-0.0028315460371142187,-0.1410731442523635,0.0,-0.34535718383694647,0.16953310102815122,-0.009856219844317504,0.06293486064856268,-0.016245031202055227,0.07697479253595585,-0.010672629766402819,0.1330643648128509,0.008923722377584431,0.03485088015951909,-0.05673034180926084,-0.006150559902186714,0.049073351837305434,-0.008147239177853871,-0.009218666890033589,0.02650925598834586,0.020828444908820964,-0.09008395172724248,-0.03228020561602618,-0.011866187092119507,-0.03217122873386702,-0.025425263834309764,-0.015287344686463089,0.0,-0.00468906688357662,-0.017403259312061325,-0.01572233609318774,0.0003135594066294711,-0.0009678444395192498,-0.029212243953226524,-0.026554874119849026,-0.07810064894310931
527,FC,2010-01-07,182.0,10Q,0.09664685803724793,0.12086711171356046,-0.07395416078663242,0.03917065670682285,0.3811369848480305,0.0,-0.5267609204634628,-0.10603312771229956,-0.044573531576709735,-0.1711625206940921,-0.05796453837393112,-0.18707714096553218,0.11218137986088594,-0.09604071918300394,0.03286626250651192,-0.023040263510438308,-0.08655820212933607,-0.00013197888140159542,0.10326127021459874,-0.08520175484244297,0.04950453014450207,0.0028474237284077386,-0.20514715302124875,-0.1491218069875191,0.16626464718573275,-0.12105285124687959,0.25590990540348235,0.5111553245184841,0.8820305798528595,0.0,0.132230645472186,0.09598881496334088,-0.041186357423706466,0.4981651357006789,0.09049510506137359,0.052162499541415386,0.09275645026093315,0.02335198930046034
528,FC,2010-04-08,91.0,10Q,0.02116383676906186,0.36796389668333307,-0.032704189115452253,-0.09742118759775287,-0.22660092743329696,0.0,0.18371797395277467,-0.04306586230649767,-0.04570656363288694,0.11739604659882397,-0.10197882760011578,0.1236014718446351,-0.040008841590848165,-0.005507233806255618,-0.0060473584529999735,0.04686316111888322,-0.05681692434405616,-0.11345117203257804,0.14253190251058023,0.07722298148281925,-0.02728310749780105,-0.03921270006514155,-0.0674761896271383,0.26281213960613736,0.11387902126033334,0.1523089546920673,0.05953945206394784,-0.43339224860498904,-0.7432445727696086,0.0,-0.07821053837630498,0.012870122985534582,-0.10691063306374349,-0.3121995090547216,-0.2209802346824994,-0.0386347673516958,-0.07666536590704132,0.036460149470117775
529,FC,2010-07-08,91.0,10Q,-0.028514851138669473,-0.388255096920356,0.07051034350277285,-0.09035887065733639,-0.10099005677123085,0.0,-0.04825410737936919,0.17453994800299155,-0.012890156436121125,-0.03387046749777278,-0.010278398222568486,-0.03848739676249191,0.019299120713816342,0.014469872286063223,0.013898788152578945,0.000234667270669231,-0.10742696790349826,0.01973783542366403,-0.021780774933292113,-0.046990683573462255,0.027913365038390703,0.1495252923887065,-0.12950152314883745,-0.1626417763651813,-0.039847961882210514,0.011174278153505579,0.012870523160256275,0.2867413773403513,0.015784735886114065,0.0,0.048799488682841785,-0.010913623021856611,0.012175410175881085,0.05226620429065876,0.0036153446323918814,-0.005514070299540208,-0.004397741256011223,-0.052190773084132336
530,FC,2011-01-06,182.0,10Q,-0.23248292252289116,0.1559337583223548,-0.0013920982746131738,0.019411173423342754,0.2067342114587195,0.0,0.1038432416172731,-0.019968048604029676,0.07285706177954943,-0.041551361178083,0.08507189043257546,-0.044889257340723465,-0.00829273544550313,-0.10195137869833171,-0.0035681003091445618,-0.015524724577930638,0.14424951100687466,0.10390396781351474,-0.21212515663767717,0.0461761696432359,-0.0037332835589947155,-0.0868001757378335,0.32887858883916676,-0.14580070996415795,-0.10557693035018756,-0.051911577094173156,-0.2919561350600074,-0.0915578459207631,0.043131624305014826,0.0,-0.02141121201009666,0.07985003235062493,0.4296526977657892,-0.25780533772888936,0.28033171935395873,-0.09601996251333722,-0.0028402001712848346,0.0180726593628725
531,FC,2011-04-07,91.0,10Q,0.27771630245417345,-0.08616646166461672,-0.04570722668313787,0.18588894549159451,-0.12158550096737386,0.0,-0.05811681420057613,-0.0718232759479216,-0.02552441177266984,0.11219340099681718,-0.042533985603115276,0.1097785232003442,0.0075850287649602555,-0.011896166742802361,-0.02623283815673927,-0.020351087453178596,0.3162776900773836,-0.020025538026352097,0.21042148066195598,0.0021631335165260834,-0.077134409275053,0.030678808734613372,0.004620210209843378,0.08384542448964549,0.14092372627053218,0.012649046024319155,0.09516840944630833,-0.3400331619451411,0.021834858625714437,0.0,-0.07626271206875512,-0.07202706723334973,-0.09756143733232281,-0.09707112443720889,-0.005341690619238948,-0.013694261822611242,-0.08942296151696028,0.036220002890764214
